HS Code (HS 2012),Product-
Product Description,
Chapter Heading Subheading,Specific Rule
"RAW HIDES AND SKINS, LEATHER, FURSKINS AND ARTICLES",
"THEREOF; SADDLERY AND HARNESS; TRAVEL GOODS,",
HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL,
GUT (OTHER THAN SILK-WORM GUT),
CHAPTER 41: RAW HIDES AND SKINS,
41 (OTHER THAN FURSKINS),AND
LEATHER,
Raw hides and skins of bovine (including,
"buffalo) or equine animals (fresh, or salted,",
,CC or
"41.01 dried, limed, pickled or otherwise preserved,",
,RVC40
"but not tanned, parchment-dressed or further",
"prepared), whether or not dehaired or split",
Raw skins of sheep or lambs,"(fresh, or"
"salted, dried, limed, pickled or",otherwise
"preserved, but not tanned, parchment-",CC or
41.02,
"dressed or further prepared), whether or not",RVC40
"with wool on or split, other than",those
excluded by Note 1(c) to this Chapter,
"Other raw hides and skins (fresh, or salted,",
"dried, limed, pickled or otherwise preserved,",
"but not tanned, parchment-dressed or further",CC or
41.03,
"prepared), whether or not dehaired or split,",RVC40
other than those excluded by Note 1(b) or,
1(c) to this Chapter,
Tanned or crust hides and skins of bovine,
"(including buffalo) or equine animals, without",CTH or
41.04,
"hair on, whether or not split, but not further",RVC40
prepared,
"Tanned or crust skins of sheep or lambs,",
,CTH or
"41.05 without wool on, whether or not split, but not",
,RVC40
further prepared,
Tanned or crust hides and skins of other,
,CTH or
"41.06 animals, without wool or hair on, whether or",
,RVC40
"not split, but not further prepared",
Leather further prepared after tanning,or
"crusting, including parchment-dressed",
,CTH or
"41.07 leather, of bovine (including buffalo)",or
,RVC40
"equine animals, without hair on, whether or",
"not split, other than leather of heading 41.14",
Leather further prepared after tanning,or
"crusting, including parchment-dressed",
,CTH or
"41.12 4112.00 leather, of sheep or lamb, without wool on,",
,RVC40
"whether or not split, other than leather of",
heading 41.14,
