HS Code (HS 2012),Product-
Product Description,
Chapter Heading Subheading,Specific Rule
"Laboratory, hygienic or pharmaceutical",
,CTH or
"70.17 glassware, whether or not graduated or",
,RVC40
calibrated,
"Glass beads, imitation pearls, imitation",
precious or semi-precious stones and similar,
"glass smallwares, and articles thereof other",
than imitation jewellery; glass eyes other,CTH or
70.18,
than prosthetic articles; statuettes and other,RVC40
"ornaments of lamp-worked glass, other than",
imitation jewellery; glass microspheres not,
exceeding 1 mm in diameter,
Glass fibres (including glass wool) and,
,CTH or
"70.19 articles thereof (for example, yarn, woven",
,RVC40
fabrics),
,CTH or
70.20 7020.00 Other articles of glass,
,RVC40
SECTION XIV,
"NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS",
"STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS",
METAL AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN,
CHAPTER 71: NATURAL OR CULTURED,
"PEARLS, PRECIOUS OR SEMI-",
"PRECIOUS STONES, PRECIOUS",
"71 METALS, METALS CLAD WITH",
"PRECIOUS METAL, AND ARTICLES",
THEREOF; IMITATION JEWELLERY;,
COIN,
"Pearls, natural or cultured, whether or not",
"worked or graded but not strung, mounted or",
71.01,CC
"set; pearls, natural or cultured, temporarily",
strung for convenience of transport,
"Diamonds, whether or not worked, but not",
71.02,
mounted or set,
,CC or
7102.10 - Unsorted,
,RVC40
- Industrial,
"-- Unworked or simply sawn, cleaved or",CC or
7102.21,
bruted,RVC40
,CTSH or
7102.29 -- Other,
,RVC40
- Non-industrial,
"-- Unworked or simply sawn, cleaved or",CC or
7102.31,
bruted,RVC40
