HS Code (HS 2012),Product-
Product Description,
Chapter Heading Subheading,Specific Rule
Parts of footwear (including uppers whether,
or not attached to soles other than outer,
,CC or
"64.06 soles); removable in-soles, heel cushions",
,RVC40
"and similar articles; gaiters, leggings and",
"similar articles, and parts thereof",
CHAPTER 65: HEADGEAR AND PARTS,CTH or
65,
THEREOF,RVC40
"CHAPTER 66: UMBRELLAS, SUN",
"UMBRELLAS, WALKING-STICKS, SEAT-",CTH or
66,
"STICKS, WHIPS, RIDING-CROPS, AND",RVC40
PARTS THEREOF,
CHAPTER 67: PREPARED FEATHERS,
AND DOWN AND ARTICLES MADE OF,CTH or
67,
FEATHERS OR OF DOWN; ARTIFICIAL,RVC40
FLOWERS; ARTICLES OF HUMAN HAIR,
SECTION XIII,
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR",
SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND,
GLASSWARE,
"CHAPTER 68: ARTICLES OF STONE,",
,CTH or
"68 PLASTER, CEMENT, ASBESTOS, MICA",
,RVC40
OR SIMILAR MATERIALS,
,CTH or
69 CHAPTER 69: CERAMIC PRODUCTS,
,RVC40
70 CHAPTER 70: GLASS AND GLASSWARE,
Cullet and other waste and scrap of glass;,CTH or
70.01 7001.00,
glass in the mass,RVC40
Glass in balls (other than microspheres of,CTH or
70.02,
"heading 70.18), rods or tubes, unworked",RVC40
"Cast glass and rolled glass, in sheets or",
"profiles, whether or not having an absorbent,",CTH or
70.03,
"reflecting or non-reflecting layer, but not",RVC40
otherwise worked,
"Drawn glass and blown glass, in sheets,",
"whether or not having an absorbent,",CTH or
70.04,
"reflecting or non-reflecting layer, but not",RVC40
otherwise worked,
Float glass and surface ground or polished,
"glass, in sheets, whether or not having an",CTH or
70.05,
"absorbent, reflecting or non-reflecting layer,",RVC40
but not otherwise worked,
"Glass of heading 70.03, 70.04 or 70.05, bent,",CTH or
70.06 7006.00,
"edge-worked, engraved, drilled, enamelled",RVC40
