HS Code (HS 2012),Product-
Product Description,
Chapter Heading Subheading,Specific Rule
,CC or
8714.10 - Of motorcycles (including mopeds),
,RVC40
,CTH or
8714.20 - Of carriages for disabled persons,
,RVC40
- Other,
,CC or
"8714.91 -- Frames and forks, and parts thereof",
,RVC40
,CC or
8714.92 -- Wheel rims and spokes,
,RVC40
"-- Hubs, other than coaster braking hubs and",CC or
8714.93,
"hub brakes, and free-wheel sprocket-wheels",RVC40
"-- Brakes, including coaster braking hubs",CC or
8714.94,
"and hub brakes, and parts thereof",RVC40
,CC or
8714.95 -- Saddles,
,RVC40
,CC or
"8714.96 -- Pedals and crank-gear, and parts thereof",
,RVC40
,CC or
8714.99 -- Other,
,RVC40
,CTH or
87.15 8715.00 Baby carriages and parts thereof,
,RVC40
"Trailers and semi-trailers; other vehicles, not",CTH or
87.16,
mechanically propelled; parts thereof,RVC40
"CHAPTER 88: AIRCRAFT, SPACECRAFT,",CTH or
88,
AND PARTS THEREOF,RVC40
"CHAPTER 89: SHIPS, BOATS AND",CTH or
89,
FLOATING STRUCTURES,RVC40
SECTION XVIII,
"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",
"CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS",
AND APPARATUS; CLOCKS AND WATCHES; MUSICAL,
INSTRUMENTS; PARTS AND ACCESSORIES THEREOF,
"CHAPTER 90: OPTICAL,",
"PHOTOGRAPHIC, CINEMATOGRAPHIC,",
"MEASURING, CHECKING, PRECISION,",
90,
MEDICAL OR SURGICAL INSTRUMENTS,
AND APPARATUS; PARTS AND,
ACCESSORIES THEREOF,
Optical fibres and optical fibre bundles;,
optical fibre cables other than those of,
heading 85.44; sheets and plates of,CTH or
90.01,
polarising material; lenses (including contact,RVC40
"lenses), prisms, mirrors and other optical",
"elements, of any material, unmounted, other",
