HS Code (HS 2012),Product-
Product Description,
Chapter Heading Subheading,Specific Rule
CHAPTER 92: MUSICAL INSTRUMENTS;,
,CTH or
92 PARTS AND ACCESSORIES OF SUCH,
,RVC40
ARTICLES,
SECTION XIX,
ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,
CHAPTER 93: ARMS AND AMMUNITION;,CTH or
93,
PARTS AND ACCESSORIES THEREOF,RVC40
SECTION XX,
MISCELLANEOUS MANUFACTURED ARTICLES,
"CHAPTER 94: FURNITURE; BEDDING,",
"MATTRESSES, MATTRESS SUPPORTS,",
CUSHIONS AND SIMILAR STUFFED,
FURNISHINGS; LAMPS AND LIGHTING,CTH or
94,
"FITTINGS, NOT ELSEWHERE SPECIFIED",RVC40
"OR INCLUDED; ILLUMINATED SIGNS,",
ILLUMINATED NAME-PLATES AND THE,
LIKE; PREFABRICATED BUILDINGS,
"CHAPTER 95: TOYS, GAMES AND",
,CTH or
95 SPORTS REQUISITES; PARTS AND,
,RVC40
ACCESSORIES THEREOF,
CHAPTER 96: MISCELLANEOUS,
96,
MANUFACTURED ARTICLES,
"Worked ivory, bone, tortoise-shell, horn,",
"antlers, coral, mother-of-pearl and other",
,CTH or
"96.01 animal carving material, and articles of these",
,RVC40
materials (including articles obtained by,
moulding),
Worked vegetable or mineral carving,
material and articles of these materials;,
"moulded or carved articles of wax, of stearin,",
of natural gums or natural resins or of,
,CTH or
"96.02 9602.00 modelling pastes, and other moulded or",
,RVC40
"carved articles, not elsewhere specified or",
"included; worked, unhardened gelatin",
(except gelatin of heading 35.03) and articles,
of unhardened gelatin,
"Brooms, brushes (including brushes",
"constituting parts of machines, appliances or",
"vehicles), hand-operated mechanical floor",
,CTH or
"96.03 sweepers, not motorised, mops and feather",
,RVC40
dusters; prepared knots and tufts for broom,
or brush making; paint pads and rollers;,
squeegees (other than roller squeegees),
